## Profile File Version 1.00
## Output by Program MBgrdviz
## Program Version $Id: mbgrdviz_callbacks.c 2268 2016-03-15 02:11:26Z caress $
## MB-System Version 5.5.2268
## Run by user <eve> on cpu <guate.shore.mbari.org> at <Fri Jul  1 14:24:07 2016>
## Number of profile points: 26055
## Profile point format:
##   <lateral distance (m)> <topography (m)> <boundary (boolean)> <longitude (deg)> <latitude (deg)> <distance over topo (m)> <bearing (deg)> <slope (m/m)>
## PROFILESOURCE Route
## PROFILELENGTH 19988.454293
## PROFILEZMIN -721.400523
## PROFILEZMAX 26055.000000
## PROFILEPOINTS 26055
#- Subsetted for "on bottom" time of BED09 during 9 January 2017 event - it floated up
lat_dist_m topo_m boundary long lat dist_topo_m bearing slope
6595.290494 -353.697771 0 -121.861995 36.802014 6778.296747 198.434960 0.003716
6596.045796 -353.617733 0 -121.861998 36.802008 6779.056277 198.434964 0.152938
6596.348799 -353.535915 0 -121.861999 36.802005 6779.370133 198.434967 0.446636
6597.407104 -353.009724 0 -121.862003 36.801996 6780.552032 198.434969 0.405652
6598.465408 -352.677308 0 -121.862007 36.801987 6781.661315 198.434974 0.216273
6599.098045 -352.644020 0 -121.862009 36.801982 6782.294827 198.434977 0.020439
6599.523713 -352.655678 0 -121.862011 36.801978 6782.720655 198.434980 0.136583
6600.582018 -352.846705 0 -121.862014 36.801969 6783.796062 198.434983 0.161096
6601.640323 -352.996654 0 -121.862018 36.801960 6784.864937 198.434988 0.108656
6602.150294 -353.017108 0 -121.862020 36.801956 6785.375318 198.434991 0.009185
6602.698627 -352.986934 0 -121.862022 36.801951 6785.924481 198.434994 0.042732
6603.756932 -352.948452 0 -121.862026 36.801942 6786.983485 198.434997 0.028490
6604.815237 -353.047237 0 -121.862030 36.801933 6788.046390 198.435001 0.162812
6605.202544 -353.183816 0 -121.862031 36.801930 6788.457073 198.435004 0.446579
6605.873542 -353.519854 0 -121.862034 36.801924 6789.207513 198.435007 0.378954
6606.931847 -353.839143 0 -121.862038 36.801915 6790.312934 198.435011 0.004900
6607.990152 -353.509482 0 -121.862042 36.801906 6791.421394 198.435015 0.254274
6608.254793 -353.502752 0 -121.862043 36.801904 6791.686122 198.435018 0.101444
6609.048456 -353.616841 0 -121.862045 36.801897 6792.487943 198.435020 0.002186
6610.106761 -353.506799 0 -121.862049 36.801888 6793.551954 198.435024 0.262464
6611.165066 -353.061307 0 -121.862053 36.801879 6794.700201 198.435029 0.404803
6611.307043 -353.020922 0 -121.862054 36.801878 6794.847810 198.435031 0.276429
6611.828250 -352.877983 1 -121.862056 36.801874 6795.388262 198.435033 0.307014
6612.209910 -352.743729 0 -121.862057 36.801870 6795.792846 191.309872 0.070571
6613.232160 -352.977058 0 -121.862059 36.801861 6796.841387 191.309874 0.354463
6614.254410 -353.468429 0 -121.862061 36.801852 6797.975601 191.309877 0.491244
6615.276660 -353.981406 0 -121.862064 36.801843 6799.119341 191.309880 0.327689
6615.817799 -353.980734 0 -121.862065 36.801838 6799.660479 191.309882 0.089209
6616.298910 -353.890213 0 -121.862066 36.801834 6800.150033 191.309883 0.374026
6617.321161 -353.418438 0 -121.862068 36.801825 6801.275896 191.309886 0.210016
6618.343411 -353.460836 0 -121.862071 36.801816 6802.299025 191.309889 0.239627
6619.365661 -353.908356 0 -121.862073 36.801807 6803.414941 191.309891 0.395044
6620.387911 -354.268503 0 -121.862076 36.801798 6804.498778 191.309894 0.305311
6620.628899 -354.294037 0 -121.862076 36.801796 6804.741115 191.309896 0.100074
6621.410161 -354.370804 0 -121.862078 36.801789 6805.526139 191.309898 0.028663
6622.432411 -354.242343 0 -121.862080 36.801780 6806.556430 191.309900 0.227172
6623.454661 -353.906351 0 -121.862083 36.801771 6807.632481 191.309903 0.270214
6624.476912 -353.689891 0 -121.862085 36.801762 6808.677397 191.309906 0.135827
6625.439999 -353.636688 0 -121.862087 36.801754 6809.641953 191.309909 0.056634
6625.499162 -353.631997 0 -121.862088 36.801753 6809.701301 191.309910 0.001562
6626.521412 -353.638377 0 -121.862090 36.801744 6810.723571 191.309912 0.042939
6627.543662 -353.719786 0 -121.862092 36.801735 6811.749058 191.309915 0.060913
6628.565912 -353.762914 0 -121.862095 36.801726 6812.772218 191.309918 0.016074
6629.588163 -353.686923 0 -121.862097 36.801717 6813.797288 191.309921 0.085429
