## Profile File Version 1.00
## Output by Program MBgrdviz
## Program Version $Id: mbgrdviz_callbacks.c 2268 2016-03-15 02:11:26Z caress $
## MB-System Version 5.5.2268
## Run by user <eve> on cpu <guate.shore.mbari.org> at <Fri Jul  1 14:24:07 2016>
## Number of profile points: 26055
## Profile point format:
##   <lateral distance (m)> <topography (m)> <boundary (boolean)> <longitude (deg)> <latitude (deg)> <distance over topo (m)> <bearing (deg)> <slope (m/m)>
## PROFILESOURCE Route
## PROFILELENGTH 19988.454293
## PROFILEZMIN -721.400523
## PROFILEZMAX 26055.000000
## PROFILEPOINTS 26055
lat_dist_m topo_m boundary long lat dist_topo_m bearing slope
128.074093 -149.953715 0 -121.811389 36.801484 270.068969 244.828324 0.081845
128.509984 -149.994403 0 -121.811394 36.801483 270.506755 244.828329 0.090353
129.172262 -150.052939 0 -121.811400 36.801480 271.171614 244.828333 0.044119
130.270430 -150.072072 0 -121.811412 36.801476 272.269949 244.828340 0.020324
130.925034 -150.088562 0 -121.811418 36.801474 272.924761 244.828346 0.018747
131.368599 -150.092659 0 -121.811423 36.801472 273.368345 244.828350 0.003562
132.466768 -150.083070 0 -121.811434 36.801468 274.466555 244.828356 0.004755
133.340084 -150.083285 0 -121.811443 36.801465 275.339872 244.828363 0.007049
133.564936 -150.090811 0 -121.811445 36.801464 275.564850 244.828367 0.016965
134.663105 -150.060840 0 -121.811457 36.801460 276.663428 244.828372 0.017337
135.755135 -150.052839 0 -121.811468 36.801456 277.755487 244.828379 0.007364
135.761274 -150.052753 0 -121.811468 36.801456 277.761626 244.828387 0.014746
136.859443 -150.069123 0 -121.811479 36.801451 278.859917 244.828387 0.050638
137.957612 -150.163972 0 -121.811490 36.801447 279.962174 244.828395 0.067021
138.170185 -150.156971 0 -121.811492 36.801447 280.174864 244.828400 0.055462
139.055781 -150.103065 0 -121.811501 36.801443 281.062098 244.828404 0.014807
140.153950 -150.127597 0 -121.811513 36.801439 282.160541 244.828411 0.021828
140.585236 -150.136450 0 -121.811517 36.801438 282.591918 244.828417 0.028465
141.252119 -150.158856 0 -121.811524 36.801435 283.259177 244.828421 0.060418
142.350288 -150.243091 0 -121.811535 36.801431 284.360572 244.828427 0.090386
143.000287 -150.316867 0 -121.811542 36.801429 285.014745 244.828434 0.097931
143.448457 -150.350637 0 -121.811546 36.801427 285.464185 244.828438 0.040789
144.546626 -150.379940 0 -121.811557 36.801423 286.562745 244.828443 0.028392
145.415339 -150.406480 0 -121.811566 36.801420 287.431863 244.828450 0.032690
145.644795 -150.415839 0 -121.811569 36.801419 287.661510 244.828454 0.114566
146.742964 -150.558581 0 -121.811580 36.801415 288.768918 244.828459 0.204637
147.830390 -150.863092 0 -121.811591 36.801411 289.898175 244.828467 0.280327
147.841134 -150.866427 0 -121.811591 36.801411 289.909424 244.828472 0.135266
148.939303 -151.013090 0 -121.811602 36.801406 291.017344 244.828475 0.143992
150.037472 -151.182682 0 -121.811613 36.801402 292.128531 244.828483 0.141151
150.245442 -151.197453 0 -121.811615 36.801402 292.337025 244.828488 0.013894
151.135642 -151.197940 0 -121.811625 36.801398 293.227224 244.828491 0.019160
152.233811 -151.235551 0 -121.811636 36.801394 294.326038 244.828499 0.053483
152.660494 -151.279493 0 -121.811640 36.801393 294.754977 244.828504 0.115185
153.331981 -151.362044 0 -121.811647 36.801390 295.431519 244.828508 0.101770
154.430150 -151.459592 0 -121.811658 36.801386 296.534013 244.828515 0.082586
155.075546 -151.506038 0 -121.811665 36.801384 297.181078 244.828521 0.074673
155.528320 -151.541595 0 -121.811669 36.801382 297.635246 244.828525 0.018646
155.805742 -151.519653 1 -121.811672 36.801381 297.913533 244.828527 0.034604
156.664828 -151.502267 0 -121.811678 36.801374 298.772796 214.991938 0.020535
157.085890 -151.493365 0 -121.811681 36.801371 299.193951 214.991943 0.013606
