      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C        Bat      Xmiss         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6      Sal00      Sal11 Potemp090C Potemp190C  Sigma-�00  Sigma-�11   Sbeox0PS Sbeox0ML/L  Sbeox0Mm/Kg       Nbin       Flag
 255.152176     31.000     30.767   3.802311   3.798179    11.3398    11.2931     0.3583    91.4317     4.6018     1.8122     1.8120     0.5965     0.0439  0.0002000     0.0000 1.0000e-12     0.1303     100.00     5.0000    33.6586    33.6604    11.3360    11.2893    25.6704    25.6803   64.31374    3.97985    173.315         48 0.0000e+00
 255.152145     32.000     31.763   3.794831   3.793317    11.2644    11.2487     0.3543    91.5237     4.6064     1.8158     1.8157     0.5719     0.0429  0.0002000     0.0000 1.0000e-12     0.1306     100.00     5.0000    33.6532    33.6526    11.2604    11.2447    25.6799    25.6823   64.96358    4.02666    175.356         61 0.0000e+00
 255.152115     33.000     32.751   3.791671   3.791653    11.2361    11.2371     0.3528    91.5575     4.6080     1.8069     1.8067     0.5581     0.0423  0.0002000     0.0000 1.0000e-12     0.1300     100.00     5.0000    33.6474    33.6462    11.2320    11.2331    25.6805    25.6794   65.02426    4.03299    175.632         50 0.0000e+00
 255.152100     34.000     33.750   3.788347   3.788033    11.1937    11.1887     0.3523    91.5700     4.6087     1.7978     1.7977     0.5042     0.0402  0.0002000     0.0000 1.0000e-12     0.1300     100.00     5.0000    33.6527    33.6542    11.1896    11.1845    25.6924    25.6945   65.21056    4.04806    176.289         48 0.0000e+00
 255.152054     35.000     34.735   3.788021   3.788076    11.1839    11.1879     0.3441    91.7578     4.6180     1.7582     1.7580     0.4716     0.0389  0.0002000     0.0000 1.0000e-12     0.1300     100.00     5.0000    33.6580    33.6555    11.1797    11.1836    25.6983    25.6956   62.73294    3.89493    169.620         38 0.0000e+00
 255.152039     36.000     35.732   3.786279   3.786281    11.1521    11.1531     0.3407    91.8349     4.6218     1.7484     1.7483     0.4676     0.0387  0.0002000     0.0000 1.0000e-12     0.1297     100.00     5.0000    33.6695    33.6686    11.1477    11.1487    25.7130    25.7121   62.71865    3.89641    169.683         44 0.0000e+00
 255.152008     37.000     36.726   3.786658   3.786610    11.1530    11.1530     0.3369    91.9227     4.6262     1.7303     1.7301     0.5337     0.0413  0.0002000     0.0000 1.0000e-12     0.1297     100.00     5.0000    33.6720    33.6716    11.1485    11.1485    25.7147    25.7144   61.58625    3.82592    166.613         64 0.0000e+00
 255.151978     38.000     37.716   3.786371   3.785841    11.1446    11.1365     0.3400    91.8522     4.6227     1.7182     1.7180     0.4918     0.0397  0.0002000     0.0000 1.0000e-12     0.1295     100.00     5.0000    33.6764    33.6786    11.1400    11.1319    25.7197    25.7229   60.65884    3.76887    164.128         70 0.0000e+00
 255.151932     39.000     38.708   3.784012   3.783491    11.1018    11.0921     0.3446    91.7467     4.6174     1.7023     1.7021     0.4755     0.0390  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.6918    33.6955    11.0971    11.0873    25.7394    25.7441   60.17574    3.74190    162.953         64 0.0000e+00
 255.151581     40.000     39.701   3.781765   3.782770    11.0618    11.0780     0.3630    91.3245     4.5965     1.6783     1.6782     0.4815     0.0393  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7057    33.7008    11.0570    11.0732    25.7575    25.7508   58.42336    3.63570    158.327         54 0.0000e+00
