TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
301.748718	51.000	50.617	11.2095	3.795226	3.5447	1.4173	70.1708	0.1727	1.3912	1.2309	24.62	1.8372	1.8369	33.6990	3.59277	57.91270	156.456	156.456	25.7259	1493.38	1498.34	6	0.0000e+00
301.748718	52.000	51.610	11.1622	3.791199	3.4818	1.4897	68.9057	0.1719	1.3788	1.1972	23.94	1.8217	1.8215	33.7020	3.56158	57.35331	155.098	155.098	25.7368	1493.23	1498.24	7	0.0000e+00
301.748749	53.000	52.602	11.1637	3.791842	3.5038	1.4641	69.3482	0.1775	1.4623	1.1594	23.19	1.8043	1.8040	33.7066	3.52676	56.79603	153.581	153.581	25.7401	1493.26	1498.15	9	0.0000e+00
301.748779	54.000	53.594	11.0441	3.781692	3.4875	1.4831	69.0196	0.1661	1.2914	1.1072	22.14	1.7897	1.7895	33.7151	3.47985	55.90126	151.540	151.540	25.7682	1492.87	1498.05	7	0.0000e+00
301.748810	55.000	54.587	10.9982	3.778385	3.4892	1.4811	69.0542	0.1926	1.6890	1.0622	21.24	1.7620	1.7618	33.7240	3.39376	54.46742	147.790	147.790	25.7834	1492.73	1497.95	11	0.0000e+00
301.748840	56.000	55.579	10.8528	3.766054	3.5472	1.4142	70.2212	0.1549	1.1234	1.0247	20.49	1.7375	1.7372	33.7345	3.32207	53.15582	144.669	144.669	25.8174	1492.25	1497.86	6	0.0000e+00
301.748840	57.000	56.572	10.6475	3.748670	3.6205	1.3311	71.6952	0.1491	1.0371	0.9663	19.33	1.7052	1.7049	33.7496	3.17225	50.54035	138.147	138.147	25.8655	1491.56	1497.74	6	0.0000e+00
301.748871	58.000	57.564	10.5370	3.739695	3.7018	1.2410	73.3289	0.1452	0.9776	0.9107	18.21	1.6608	1.6605	33.7614	3.03972	48.31749	132.376	132.376	25.8940	1491.20	1497.64	6	0.0000e+00
301.748901	59.000	58.556	10.5576	3.742359	3.6536	1.2941	72.3605	0.1436	0.9546	1.9300	38.60	1.6068	1.6065	33.7687	2.95222	46.94880	128.564	128.564	25.8960	1491.30	1497.53	11	0.0000e+00
301.748901	60.000	59.549	10.4055	3.729753	3.7153	1.2262	73.6007	0.1448	0.9716	1.3497	26.99	1.5780	1.5777	33.7824	2.90880	46.11181	126.674	126.674	25.9331	1490.79	1497.42	8	0.0000e+00
301.748932	61.000	60.541	10.3076	3.722511	3.7667	1.1703	74.6341	0.1459	0.9892	0.7621	15.24	1.5418	1.5415	33.7998	2.77651	43.92568	120.913	120.913	25.9636	1490.48	1497.31	8	0.0000e+00
301.748962	62.000	61.533	10.2679	3.719472	3.8680	1.0626	76.6709	0.1410	0.9147	0.7180	14.36	1.5160	1.5157	33.8057	2.73376	43.21393	119.051	119.051	25.9750	1490.36	1497.19	5	0.0000e+00
301.748962	63.000	62.526	10.2335	3.717037	3.8733	1.0570	76.7779	0.1399	0.8984	1.2778	25.56	1.4986	1.4983	33.8126	2.69994	42.64954	117.579	117.579	25.9863	1490.26	1497.08	7	0.0000e+00
301.748993	64.000	63.518	10.2081	3.715272	3.8690	1.0616	76.6907	0.1421	0.9310	1.0692	21.38	1.4808	1.4805	33.8180	2.66381	42.05703	116.005	116.005	25.9949	1490.19	1496.98	10	0.0000e+00
301.749023	65.000	64.510	10.2237	3.717188	3.8852	1.0446	77.0173	0.1422	0.9326	0.5410	10.82	1.4641	1.4638	33.8224	2.63946	41.68789	114.944	114.944	25.9957	1490.27	1496.87	9	0.0000e+00
301.749054	66.000	65.502	10.1320	3.709700	3.9105	1.0182	77.5258	0.1369	0.8528	1.6536	33.07	1.4544	1.4541	33.8316	2.59142	40.85048	112.853	112.853	26.0186	1489.97	1496.77	8	0.0000e+00
301.749084	67.000	66.495	9.9959	3.698853	3.9297	0.9984	77.9117	0.1358	0.8367	0.5100	10.20	1.4353	1.4350	33.8482	2.50850	39.43123	109.242	109.242	26.0545	1489.52	1496.66	6	0.0000e+00
301.749084	68.000	67.487	9.8483	3.687231	3.9461	0.9815	78.2409	0.1352	0.8273	0.4093	8.19	1.4031	1.4027	33.8676	2.39029	37.45732	104.095	104.095	26.0945	1489.02	1496.55	8	0.0000e+00
301.749146	69.000	68.479	9.8761	3.689976	3.9555	0.9718	78.4315	0.1322	0.7833	1.2141	24.28	1.3598	1.3594	33.8691	2.35410	36.91284	102.519	102.519	26.0911	1489.14	1496.44	11	0.0000e+00
301.749237	70.000	69.472	9.6293	3.670688	4.0310	0.8953	79.9487	0.1293	0.7399	0.3932	7.86	1.3160	1.3156	33.9034	2.19117	34.18292	95.424	95.424	26.1588	1488.31	1496.33	13	0.0000e+00
